Sentiment,Text
negativo,Los daba por muertos 🐻🤩 https://t.co/qNam6Svu3X
neutro,"@PilarCamachoG La batería tardaba un par de horas, tenías que llevar una de reemplazo."
positivo,@gar_mau Estoy esperando que llegues a Meriland para vernos y seguir el chisme. 🥰
neutro,Tenemos también una exfoliación en cara con precios accesibles puede ser en mi domicilio o en su lugar. Aproveche antes del 24 de diciembre.
positivo,"@leda_vino Gracias Leda, aquí ando de renegado como siempre. Así es, vivimos crisis política y nos queda como ciudadanos ser responsables. Ojalá en unos años, podamos realmente ver un cambio de paradigmas. Saludos grandes hasta el valle.. 😉"
neutro,@_materialgeorge Cómo lo justificaron?
negativo,@Balagard_Mayor @gibranrr Qué enorme favor le hicieron 😐 (Sarcasmo)
neutro,"Sin duda alguna, te dedicaría el álbum completo de Oliva Rodrigo, todas las canciones están escritas a lo que en su momento llegue a sentír. #Sour"
positivo,"Estaríamos viendo Jhon Wick 3, bien abrazaditos, pero no superas a tu ex y te gustan mamás solteras 🤷🏻‍♀️"
neutro,@SaraPerez_yuc San roque en el sur
negativo,"@MiguelG23786419 @NortenaCatrina @patyper @m_ebrard O sea... Es Canciller. Relaciones exteriores. Se tienden puentes (sí, hasta con la derecha).  Es funcionario público y trabaja para todos. Sorry por meterme"
positivo,"@ixlaPelana @TorosDeTijuana Nos vemos en la temporada 2022, saludos fiera 🦁"
positivo,@i21stCenturyMan Jajaja éxito en tu cacería 🧐
positivo,"Si alejarte de mi te dará paz y tranquilidad, nunca dudes en irte!"
positivo,"@OsmarSV23 Y ahora ya tienen un parque turístico, saludos fiera"
negativo,"Si a José José se le despidió como se debe, al chente no puedo fallarle."
positivo,La mágica relación entre padre e hija…  Dulces 16 mi princesa…  #Camila ❤️ #Dulces16 #FamiliaDe4 https://t.co/U1iMxj9OWP
neutro,El equipo Nova🤩 https://t.co/sbTN3IjCaa
positivo,"Tu legado será eterno... Hasta Siempre Vicente Fernández, Hasta Siempre Ídolo 🙌  QEPD ⚫"
positivo, Eres grande! Y los grandes no se comportan así 
neutro,"Adiós #progreso #meridayucatan en Progreso, Yucatan https://t.co/WeJd8GryVo"
positivo,"Tu legado será eterno... Hasta Siempre Vicente Fernández, Hasta Siempre Ídolo 🙌  QEPD ⚫ https://t.co/gphD59IpXG"
positivo,"El momento de la noche fue cuando mis amigas y yo nos tiramos en el césped, con dembow de fondo ❤️."
negativo,"El arte es dolor, la vida es sufrimiento ... 🕳️"
positivo,Gracias por tantas y tantas pedas chente 😔
neutro,@jcamfer @Mr_Misteyed @JuanRoj10038893 @EnsedeCiencia @Ljr740 Les comparto este vídeo en el que se compara el tamaño de nuestro sistema solar y demás soles.  https://t.co/4BOJwONpkZ
positivo,"Tequila con cointreau y zapote, escarchado con sal de jamaica ¡Salud! https://t.co/WPyVMqhJ53"
neutro,"Mar y arena en Progreso, Yucatan https://t.co/xgYWacQ1xT"
positivo,El charro de mexico !! Que paz descanse  https://t.co/l16rroqV9l
negativo,Maldito cupido no jueges conmigo
positivo,@Itsmehdz Jajajajajajaj no manches estás más cabron así!! Darse cuentas después 😂😂
positivo,Se fue el gran chente 😫😑🙏🏻
negativo,Cochinita pibil enterrada… pues ya qué!!🙈 https://t.co/dhIWjWKKlz
negativo,"Es como que quiero volver, pero me niego a volver. Esta todo tan bien acá en el paraíso; volver para que ?"
positivo,@JCarlos_Valerio De esas noticias que alegran el día!
neutro,@Pedropa60731466 Que hermosa
positivo,"Empecé en un nuevo trabajo: son 7 horas, 4 días a la semana, tengo 3 días libres y gano $1800 dólares y me preguntan cuando voy a regresar a Argentina JAJAJA nunca"
positivo,@karimeestrv Pues dile a mi amigo que se apure para ya formalizar el  MOM  jejeje
positivo,"@kriscr7 Así me pasa, este lo descubrí de casualidad, está perfecto el horario"
positivo,"@doncamoteblog @ClubPueblaMX A que? A robar como robo el atlas en 4tos y en semifinal? Si es así, prefiero el camino que sigue el conjunto de la franja"
positivo,No te quedes sin estrenar!!!   #Ropa #Campeche #moda https://t.co/qa5aKjN9ih
neutro,"Puedes sentir la PRESIÓN en ese nacimiento jeje en Mérida, Yucatan https://t.co/irAX927gA0"
positivo,"🎞Hoy 12 de diciembre es buena ocasión para ver  Tepeyac , historia sobre las apariciones de la Virgen de Guadalupe. Una de 3 cintas mexicanas del cine silente que sobreviven. Fue  restaurada por la Filmoteca UNAM. Vela aquí:  https://t.co/erNPsTkrHt Vía @CulturaUNAM https://t.co/TLdniLEyVD"
